activity_id,name,operator,region,latitude,longitude,installation_type,status,people_on_board,planned_start,planned_end,actual_start,actual_end,dfu2,dfu5,dfu7
A026, Activity 26,NorthSea Energy ,Troll ,60.5312,2.9352,Mobile,Planned,85,2026-01-01,2026-12-31,,,false,false,true
A027, Activity 27,Nordic Offshore ,Oseberg ,60.1971,3.4986,Floating,Active,92,2026-01-01,2026-12-31,,,true,false,false
A028, Activity 28,Coastal Operations ,Sleipner ,58.5924,2.0746,Fixed,Completed,99,2026-01-01,2026-12-31,,,false,true,true
A029, Activity 29,Equinor ,Halten ,64.8725,7.5666,Mobile,Active,106,2026-01-01,2026-12-31,,,true,false,false
A030, Activity 30,NorthSea Energy ,Barents ,70.7624,21.8071,Floating,Planned,113,2026-01-01,2026-12-31,,,false,false,true
A031, Activity 31,Nordic Offshore ,Troll ,61.3364,3.624,Fixed,Active,120,2026-01-01,2026-12-31,,,true,true,false
A032, Activity 32,Coastal Operations ,Oseberg ,60.574,3.0954,Mobile,Completed,127,2026-01-01,2026-12-31,,,false,false,true
A033, Activity 33,Equinor ,Sleipner ,58.8457,2.3416,Floating,Active,134,2026-01-01,2026-12-31,,,true,false,false
A034, Activity 34,NorthSea Energy ,Halten ,64.9478,6.4514,Fixed,Planned,141,2026-01-01,2026-12-31,,,false,true,true
A035, Activity 35,Nordic Offshore ,Barents ,70.9601,21.6284,Mobile,Active,148,2026-01-01,2026-12-31,,,true,false,false
A036, Activity 36,Coastal Operations ,Troll ,60.3243,4.1087,Floating,Completed,155,2026-01-01,2026-12-31,,,false,false,true
A037, Activity 37,Equinor ,Oseberg ,60.9893,2.5035,Fixed,Active,162,2026-01-01,2026-12-31,,,true,true,false
A038, Activity 38,NorthSea Energy ,Sleipner ,58.6021,1.733,Mobile,Planned,169,2026-01-01,2026-12-31,,,false,false,true
A039, Activity 39,Nordic Offshore ,Halten ,65.8389,7.1342,Floating,Active,46,2026-01-01,2026-12-31,,,true,false,false
A040, Activity 40,Coastal Operations ,Barents ,70.8943,21.5946,Fixed,Completed,53,2026-01-01,2026-12-31,,,false,true,true
A041, Activity 41,Equinor ,Troll ,60.7798,3.0204,Mobile,Active,60,2026-01-01,2026-12-31,,,true,false,false
A042, Activity 42,NorthSea Energy ,Oseberg ,60.61,3.4365,Floating,Planned,67,2026-01-01,2026-12-31,,,false,false,true
A043, Activity 43,Nordic Offshore ,Sleipner ,58.2692,1.4509,Fixed,Active,74,2026-01-01,2026-12-31,,,true,true,false
A044, Activity 44,Coastal Operations ,Halten ,65.9468,7.2152,Mobile,Completed,81,2026-01-01,2026-12-31,,,false,false,true
A045, Activity 45,Equinor ,Barents ,70.6682,21.2754,Floating,Active,88,2026-01-01,2026-12-31,,,true,false,false
A046, Activity 46,NorthSea Energy ,Troll ,60.1925,3.6039,Fixed,Planned,95,2026-01-01,2026-12-31,,,false,true,true
A047, Activity 47,Nordic Offshore ,Oseberg ,60.8797,2.6755,Mobile,Active,102,2026-01-01,2026-12-31,,,true,false,false
A048, Activity 48,Coastal Operations ,Sleipner ,57.8326,1.7106,Floating,Completed,109,2026-01-01,2026-12-31,,,false,false,true
